Date,Open,High,Low,Close,Adj Close,Volume
2020-05-28,30.610001,31.459999,30.209999,30.790001,29.048223,20732700
2020-05-29,30.500000,30.850000,29.750000,30.840000,29.095390,26926700
2020-06-01,30.770000,32.150002,30.559999,31.799999,30.001083,22043600
2020-06-02,32.599998,32.900002,32.279999,32.820000,30.963381,15772200
2020-06-03,34.470001,35.000000,33.840000,34.750000,32.784206,29497200
2020-06-04,34.430000,35.570000,33.520000,34.939999,32.963455,23947100
2020-06-05,37.410000,38.169998,35.009998,35.200001,33.208748,35546100
2020-06-08,35.820000,36.810001,35.500000,36.389999,34.331429,22264000
2020-06-09,35.540001,37.080002,35.119999,35.790001,33.765369,28728300
2020-06-10,36.360001,36.410000,34.209999,34.209999,32.274750,27346200
2020-06-12,33.000000,33.880001,32.810001,33.349998,31.463400,28959900
2020-06-15,32.000000,33.320000,31.700001,33.070000,31.199242,33572800
2020-06-16,34.500000,34.669998,33.099998,33.500000,31.604912,23341500
2020-06-17,33.439999,34.770000,33.360001,34.500000,32.548351,18945300
2020-06-18,34.180000,35.130001,33.799999,34.400002,32.454006,18913800
2020-06-19,34.900002,35.119999,33.900002,33.939999,32.020027,20326300
2020-06-22,34.209999,34.419998,33.000000,33.240002,31.359627,15139200
2020-06-23,33.799999,34.040001,33.099998,33.529999,31.633221,16289000
2020-06-24,33.340000,33.599998,31.910000,32.220001,30.397327,24448100
2020-06-25,32.340000,33.049999,32.080002,33.009998,31.142633,19013400
2020-06-26,32.650002,32.880001,31.820000,31.820000,30.019955,14806900
2020-06-29,32.169998,33.439999,31.940001,33.439999,31.548313,18321000
2020-06-30,33.209999,33.220001,32.020000,32.150002,30.331284,25268700
2020-07-01,32.419998,33.270000,32.180000,33.070000,31.199242,17012800
2020-07-02,33.630001,34.240002,33.000000,33.160000,31.284149,19976000
2020-07-03,33.119999,33.500000,32.680000,33.500000,31.604912,8194600
2020-07-06,34.360001,34.990002,34.070000,34.669998,32.708729,19120300
2020-07-07,34.299999,34.360001,33.279999,33.279999,31.397360,23168300
2020-07-08,33.709999,34.200001,33.520000,34.090000,32.161537,17648100
2020-07-09,34.180000,34.320000,33.810001,33.959999,32.038895,11247600
2020-07-10,33.889999,34.340000,33.549999,34.139999,32.208714,14193400
2020-07-13,34.450001,34.790001,33.799999,33.799999,31.887947,14199100
2020-07-14,33.830002,34.410000,33.500000,34.349998,32.406834,14317900
2020-07-15,34.700001,35.070000,34.389999,34.689999,32.727600,14782300
2020-07-16,34.410000,34.560001,34.080002,34.400002,32.454006,10078300
2020-07-17,34.500000,35.459999,34.470001,35.459999,33.454037,17077800
2020-07-20,35.490002,35.680000,34.869999,35.320000,33.321964,15869700
2020-07-21,35.750000,36.200001,35.270000,35.490002,33.482342,19201300
2020-07-22,35.650002,35.689999,34.709999,35.200001,33.208748,13628100
2020-07-23,35.259998,35.259998,34.209999,34.349998,32.406834,14245100
2020-07-24,34.000000,34.619999,33.650002,33.950001,32.029461,17200000
2020-07-27,33.700001,35.070000,33.540001,34.910000,32.935150,23781800
2020-07-28,34.700001,35.779999,34.549999,35.029999,33.048367,17055500
2020-07-29,35.380001,35.950001,35.150002,35.950001,33.916325,13101300
2020-07-30,35.119999,35.540001,34.520000,34.799999,32.831379,23154800
2020-07-31,34.900002,34.970001,33.570000,33.580002,31.680395,20701300
2020-08-03,34.240002,35.040001,33.779999,34.349998,32.406834,24030700
2020-08-04,33.880001,34.599998,33.009998,33.299999,31.416229,20774400
2020-08-05,33.810001,33.970001,32.900002,33.330002,31.444536,14184600
2020-08-06,33.759998,34.430000,33.139999,34.349998,32.406834,18267300
2020-08-07,34.000000,34.939999,33.599998,34.110001,32.180405,18561800
2020-08-10,34.119999,34.599998,33.750000,34.430000,32.482300,9726000
2020-08-11,34.599998,34.889999,33.900002,33.930000,32.010593,14045800
2020-08-12,34.000000,34.419998,33.200001,33.750000,31.840775,18029600
2020-08-13,33.889999,34.400002,33.049999,33.070000,31.199242,15011800
2020-08-14,33.099998,33.500000,32.790001,33.180000,31.303019,10808700
2020-08-17,33.169998,33.349998,31.889999,32.330002,30.501106,21951800
2020-08-18,32.900002,32.970001,32.400002,32.770000,30.916218,14524500
2020-08-19,32.849998,32.970001,32.520000,32.619999,30.774696,10398700
2020-08-20,32.099998,32.730000,31.900000,32.650002,30.802999,22908300
2020-08-21,32.500000,33.080002,32.330002,32.950001,31.086033,11677400
2020-08-24,32.889999,34.000000,32.799999,33.450001,31.986818,19409300
2020-08-25,33.779999,33.950001,33.049999,33.250000,31.795563,11829700
2020-08-26,33.139999,33.439999,32.060001,32.450001,31.030554,16625400
2020-08-27,32.509998,33.439999,32.360001,32.750000,31.317432,15937400
2020-08-28,33.020000,33.509998,32.980000,33.389999,31.929440,11382300
2020-08-31,33.389999,33.389999,32.650002,32.650002,31.221807,13968600
2020-09-01,33.150002,33.590000,32.919998,33.209999,31.757313,12354600
2020-09-02,33.250000,33.369999,32.740002,33.250000,31.795563,9844600
2020-09-03,33.189999,34.790001,33.110001,33.770000,32.292820,29833900
2020-09-04,34.099998,34.369999,33.330002,33.950001,32.464939,20865000
2020-09-08,33.540001,33.689999,33.070000,33.259998,31.805124,13460400
2020-09-09,33.580002,33.720001,32.959999,33.220001,31.766874,12591200
2020-09-10,33.139999,33.490002,32.439999,32.529999,31.107056,13387400
2020-09-11,32.580002,32.689999,31.719999,32.000000,30.600241,14710600
2020-09-14,32.220001,32.590000,31.700001,32.360001,31.044281,11011900
2020-09-15,32.599998,32.599998,31.870001,31.990000,30.689327,11585100
2020-09-16,32.090000,32.619999,32.009998,32.090000,30.785261,13814800
2020-09-17,31.809999,32.290001,31.700001,32.150002,30.842819,10209500
2020-09-18,31.950001,32.020000,31.150000,31.340000,30.065754,15967500
2020-09-21,30.709999,31.129999,30.410000,30.879999,29.624456,13418000
2020-09-22,30.850000,31.680000,30.680000,30.820000,29.566896,10734300
2020-09-23,30.850000,30.940001,30.070000,30.180000,28.952919,12768300
2020-09-24,30.180000,30.900000,29.910000,30.420000,29.183163,15943300
